2.17,35,Trianguli,North
11.17,44.5,UrsaeMajoris,North
15.35,71.8,UrsaeMinoris,North
16.87,-38,Scorpii,South
21.90,-37.4,Gruis,South
3.72,47.8,Persei,North
6.33,-30.1,CanisMajoris,South
7.05,-23.8,CanisMajoris,South
12.17,-22.6,Corvi,South
5.03,43.8,Aurigae,North
12.77,-68.1,Muscae,South
14.53,38.3,Boötis,North
20.35,-14.8,Capricorni,South
6.73,25.1,Geminorum,North
10.37,41.5,UrsaeMajoris,North
19.22,67.7,Draconis,North
18.30,-36.8,Sagittarii,South
8.92,5.9,Hydrae,North
10.83,-16.2,Hydrae,South
11.60,-63,Centauri,South
20.63,-47.3,Indi,South
5.85,-35.8,Columbae,South
8.98,48,UrsaeMajoris,North
16.98,-56,Arae,South
17.25,24.8,Herculis,North
14.98,-42.1,Centauri,South
9.35,34.4,Lyncis,North
9.52,-57,Velorum,South
17.25,36.8,Herculis,North
6.63,-43.2,Puppis,South
9.55,51.7,UrsaeMajoris,North
17.15,65.7,Draconis,North
18.77,-27,Sagittarii,South
5.12,41.2,Aurigae,North
14.72,-65,Circini,South
4.83,7,Orionis,North
5.08,-22.4,Leporis,South
16.97,9.4,Ophiuchi,North
17.83,-37,Scorpii,South
21.22,30.2,Cygni,North
23.65,77.6,Cephei,North
15.35,-40.6,Lupi,South
16.30,-4.7,Ophiuchi,South
18.35,-2.9,Serpentis,South
21.48,70.6,Cephei,North
6.80,-61.9,Pictoris,South
20.18,-0.8,Aquilae,South
7.48,-43.3,Puppis,South
14.10,-26.7,Hydrae,South
15.07,-25.3,Librae,South
18.98,32.7,Lyrae,North
3.78,-74.2,Hydri,South
0.65,30.9,Andromedae,North
17.37,-25,Ophiuchi,South
22.92,-15.8,Aquarii,South
5.22,-16.2,Leporis,South
10.23,-70,Carinae,South
15.42,59,Draconis,North
4.57,-55,Doradus,South
10.53,-61.7,Carinae,South
13.83,-42.5,Centauri,South
6.25,22.5,Geminorum,North
17.25,14.4,Herculis,North
17.42,-56.4,Arae,South
1.10,-46.7,Phoenicis,South
3.08,38.8,Persei,North
12.25,57,UrsaeMajoris,North
17.20,-43.2,Scorpii,South
17.98,-9.8,Ophiuchi,South
19.12,-27.7,Sagittarii,South
4.23,-62.5,Reticuli,South
11.23,15.4,Leonis,North
7.82,-24.9,Puppis,South
1.90,63.7,Cassiopeiae,North
5.40,-2.4,Orionis,South
6.75,12.9,Geminorum,North
8.50,60.7,UrsaeMajoris,North
19.42,3.1,Aquilae,North
15.38,-44.7,Lupi,South
13.58,-0.6,Virginis,South
8.78,6.4,Hydrae,North
5.58,9.9,Orionis,North
10.28,-61.3,Carinae,South
12.93,3.4,Virginis,North
22.18,58.2,Cephei,North
4.48,15.9,Tauri,North
1.47,-43.3,Phoenicis,South
4.02,12.5,Tauri,North
13.83,-41.7,Centauri,South
15.20,-52.1,Lupi,South
20.75,61.8,Cephei,North
22.68,10.8,Pegasi,North
1.88,29.6,Trianguli,North
16.00,-38.4,Lupi,South
17.77,27.7,Herculis,North
20.75,-66.2,Pavonis,South
9.18,-58.9,Carinae,South
10.28,23.4,Leonis,North
19.10,-4.9,Aquilae,South
10.28,42.9,UrsaeMajoris,North
18.83,33.4,Lyrae,North
0.82,57.8,Cassiopeiae,North
1.15,-10.2,Ceti,South
7.95,-53,Carinae,South
15.27,33.3,Bootis,North
2.72,3.2,Ceti,North
10.12,16.8,Leonis,North
16.72,38.9,Herculis,North
1.73,-15.9,Ceti,South
7.03,-27.9,CanisMajoris,South
11.30,33.1,UrsaeMajoris,North
15.03,40.4,Bootis,North
18.45,-46,Telescopii,South
22.82,-51.3,Gruis,South
6.83,-32.5,CanisMajoris,South
7.33,22,Geminorum,North
22.83,66.2,Cephei,North
19.98,19.5,Sagittae,North
22.83,24.6,Pegasi,North
3.72,-9.8,Eridani,South
9.68,9.9,Leonis,North
9.95,-54.6,Velorum,South
18.97,-21.1,Sagittarii,South
22.17,6.2,Pegasi,North
4.48,19.2,Tauri,North
8.28,9.2,Cancri,North
11.55,-31.9,Hydrae,South
15.83,-3.4,Serpentis,South
17.63,-15.4,Serpentis,South
